sentence_id,sentence,Subject,Predicate,Object
dev_0111,This finding indicated that organic compounds could carry current .,This finding,indicated that,organic compounds could carry current
dev_0283,Blagoja ` Billy ' Celeski is an Australian footballer who plays as a midfielder for the Newcastle Jets .,Blagoja ` Billy ' Celeski,is,an Australian footballer
dev_0283,Blagoja ` Billy ' Celeski is an Australian footballer who plays as a midfielder for the Newcastle Jets .,Blagoja ` Billy ' Celeski,plays,as a midfielder
dev_0283,Blagoja ` Billy ' Celeski is an Australian footballer who plays as a midfielder for the Newcastle Jets .,Blagoja ` Billy ' Celeski,plays,for the Newcastle Jets
dev_0283,Blagoja ` Billy ' Celeski is an Australian footballer who plays as a midfielder for the Newcastle Jets .,the Newcastle Jets,have,midfielder
dev_0165,"Tom Bradley joined the London , Midland and Scottish Railway Company as a junior clerk in the Goods Depot at Kettering in 1941 .",Tom Bradley,joined,"the London , Midland and Scottish Railway Company as a junior clerk in the Goods Depot"
dev_0165,"Tom Bradley joined the London , Midland and Scottish Railway Company as a junior clerk in the Goods Depot at Kettering in 1941 .",Tom Bradley,"joined the London , Midland and Scottish Railway Company",as a junior clerk in the Goods Depot
dev_0165,"Tom Bradley joined the London , Midland and Scottish Railway Company as a junior clerk in the Goods Depot at Kettering in 1941 .",a Goods Depot,exists,in Kettering
dev_0165,"Tom Bradley joined the London , Midland and Scottish Railway Company as a junior clerk in the Goods Depot at Kettering in 1941 .","the London , Midland and Scottish Railway Company",exists,at Kettering
dev_0165,"Tom Bradley joined the London , Midland and Scottish Railway Company as a junior clerk in the Goods Depot at Kettering in 1941 .",Tom Bradley,exists,in 1941
dev_0165,"Tom Bradley joined the London , Midland and Scottish Railway Company as a junior clerk in the Goods Depot at Kettering in 1941 .",Tom Bradley,is,a junior clerk in the Goods Depot
dev_0149,"However , Jesus is not accepted as the son by Muslims , who strictly maintain that he was a human being who was loved by God and exalted by God to ranks of the most righteous .",Jesus,is not accepted by Muslims as,the son
