sent_id,sentence
sent_0000,This finding indicated that organic compounds could carry current .
sent_0001,Blagoja ` Billy ' Celeski is an Australian footballer who plays as a midfielder for the Newcastle Jets .
sent_0002,"Tom Bradley joined the London , Midland and Scottish Railway Company as a junior clerk in the Goods Depot at Kettering in 1941 ."
sent_0003,"However , Jesus is not accepted as the son by Muslims , who strictly maintain that he was a human being who was loved by God and exalted by God to ranks of the most righteous ."
sent_0004,"From 1970 to 1985 , Gideon Rodan taught at the University of Connecticut School of Dental Medicine until he switched over to Merck ."
sent_0005,"After a short absence Keibler began a short feud with the evil Jillian Hall , which led to the two having a match on `` Velocity '' , which Keibler lost ."
sent_0006,Walcott was brought on one knee in the third round and the fight ended with hardly a scratch on Langford .
sent_0007,"On 12 July 2006 , Hezbollah launched a series of rocket attacks and raids into Israeli territory , where they killed three Israeli soldiers and captured a further two ."
sent_0008,Courtelary is first mentioned in 968 as `` Curtis Alerici '' in a list of the properties of Moutier-Grandval Abbey .
sent_0009,"The strike obtained political support from the Political Affairs Committee , and the workers were addressed at numerous public meetings by Dr. Cheddi Jagan , Janet Jagan and leaders of the GIWU ."
sent_0010,US 258 and NC 122 parallel the river north before the two routes diverge northeast of Tarboro .
sent_0011,"A number of rare and endemic plants are adapted to the unique limestone soils of the mountains , including the cliffdweller , bristlecone cryptantha , and Inyo rock daisy ."
sent_0012,"These include any Assistant to the President , Deputy Assistant to the President , and Special Assistant to the President ."
sent_0013,He was awarded the Queen 's Police Medal in the 1957 New Year Honours .
sent_0014,"with a .535 slugging percentage , and the Astros , where he batted .260 in 64 games , primarily at second base ."
sent_0015,They are also known in Japan as `` Northern Territories '' .
sent_0016,She resigns after the events of `` The Last Precinct '' and relocates to Florida to become a private forensic consultant .
sent_0017,"Upon exiting Davidson Township , Sullivan County , Muncy Creek enters Lycoming County and flows along the border between Shrewsbury Township and Penn Township for several miles ."
sent_0018,"Although the villages were located close to industrial sites , they were generally physically separated from them and generally consisted of relatively high quality housing , with integrated community amenities and attractive physical environments ."
sent_0019,"The RSNO 's base is at Henry Wood Hall in Glasgow and is also used as its recording venue ; a new base is being constructed within the Royal Concert Hall , Buchanan Street ."
sent_0020,Dripping can be clarified by adding a sliced raw potato and cooking until potato turns brown .
sent_0021,"A character notes some practical difficulties with such a map and states that `` we now use the country itself , as its own map , and I assure you it does nearly as well . ''"
sent_0022,"Having returned to the Second Division at the first attempt , they gained promotion to the First Division in 1974 ."
sent_0023,He stayed for less than a year before being appointed Chief Constable of Kent in July 1946 .
sent_0024,"In many of her writings , King often refers to the comical contradictions between the material reality of her upbringing and the snobbish behavior of her grandmother ."
sent_0025,McLay also suggests that the songs negate what many consider to be a `` heretical '' ending for a comedy .
sent_0026,Byrom Street Cutting became a runaway catch point for runaway trains in the tunnel .
sent_0027,"The division maintained defensive positions until the offensive of 23 May , when it broke out of the beachhead , took Cisterna , and raced to Civitavecchia and Rome ."
sent_0028,"The novel follows Cashel Byron , a world champion prizefighter , as he tries to woo wealthy aristocrat Lydia Carew without revealing his illegal profession ."
sent_0029,A different judge then ordered the case reviewed by a higher court .
sent_0030,"In 1717 Lady Mary Wortley Montagu observed the practice in Istanbul and attempted to popularize it in Britain , but encountered considerable resistance ."
sent_0031,"Wallonia is also home to about 80 % of the population of the French Community of Belgium , a political level responsible for matters related mainly to culture and education , with the remainder living in Brussels ."
sent_0032,"For liquid-packed vessels , thermal relief valves are generally characterized by the relatively small size of the valve necessary to provide protection from excess pressure caused by thermal expansion ."
sent_0033,The Original Celtics were a barnstorming professional basketball team in the 1920s .
sent_0034,"As the student of Torah ascends through the thought of the Pardes system , as the interpretations become more inward and spiritual , it becomes progressively understood that God desires man 's observance of the Jewish precepts , so to speak ."
sent_0035,Just above seen is a replica of a Shiva lingam .
sent_0036,"Around the `` triangle area , '' which includes Quanzhou , Xiamen and Zhangzhou , locals all speak Minnan languages ."
sent_0037,"This used the section of the C&HP line from Buxton as far as Parsley Hay , from where a single line ran south to Ashbourne , where it connected with the North Staffordshire Railway ."
sent_0038,"Though this form of violence is often portrayed as an issue within the context of heterosexual relationships , it also occurs in lesbian relationships , daughter-mother relationships , roommate relationships and other domestic relationships involving two women ."
sent_0039,"The second session , taking place on November 12 , 1960 , produced Joe Primrose 's `` St. James Infirmary '' and the sad and mood `` I 've Just Got to Forget You '' ."
sent_0040,23.8 % of all households were made up of individuals and 13.0 % had someone living alone who was 65 years of age or older .
sent_0041,"He held the post as Attorney-General until 1834 ; he was readmitted in 1841 and after serving for a year , became Master of the Rolls in Ireland ."
sent_0042,She began her film career in 1947 in the film `` A New Oath '' .
sent_0043,"Continuing duties specified for freed slaves in manumission agreements became more common into the Hellenistic era , and they may have been customary earlier ."
sent_0044,"He returned to Cleveland , working in clubs as a singer , dancer , and comedian , often appearing in character as Prince DuMarr ."
sent_0045,The Israeli controlled sector was captured by Israel in the Six-Day War of June 1967 .
sent_0046,"Voyslava has killed Mlada , Yaromir 's bride , to have him for herself ."
sent_0047,"Here , equality between the two vectors in homogeneous coordinates means that the numbers on the right side are equal to the numbers on the left side up to some common scaling factor formula_8 ."
sent_0048,"Many lodge members , youth and adult , are active staff members of both Scout and Cub Scout camps ."
sent_0049,These tracks have subsequently been included on CD reissues of the album `` The Plan '' .
