sent_id,Subject,Predicate,Object,reason
sent_0003,Jesus,not is,a human being,reject
sent_0003,Jesus,not was loved by,God,reject
sent_0003,Jesus,not was exalted by,God,reject
sent_0003,God,not loved,Jesus,reject
sent_0003,God,not exalted,Jesus,reject
sent_0010,NC 122,before,river,reject
sent_0011,bristlecone cryptantha,is,plants,reject
sent_0012,Assistant to the President,is,President,reject
sent_0012,Deputy Assistant to the President,is,President,reject
sent_0012,Special Assistant to the President,is,President,reject
sent_0020,until,can cooking,sliced raw potato,reject
sent_0026,Byrom Street Cutting,became,tunnel,reject
sent_0026,Byrom Street Cutting,became,the tunnel,reject
sent_0027,The division,may took,Cisterna,unverified
sent_0028,Cashel Byron,without follows,novel,reject
sent_0028,Cashel Byron,without is,world champion prizefighter,reject
sent_0028,Cashel Byron,without tries,woo,reject
sent_0028,Cashel Byron,without tries,Lydia Carew,reject
sent_0028,Cashel Byron,without has,illegal profession,reject
sent_0028,Lydia Carew,without is,wealthy aristocrat,unverified
sent_0028,Cashel Byron,without woos,Lydia Carew,reject
sent_0029,judge,ordered,case,reject
sent_0030,Britain,attempted,popularize,reject
sent_0030,practice,observed,Lady Mary Wortley Montagu,reject
sent_0031,Wallonia,is home to,the remainder,reject
sent_0032,thermal expansion,is caused by,thermal relief valves,reject
sent_0037,Parsley Hay,ran,Ashbourne,reject
sent_0038,lesbian relationships,is,context,unverified
sent_0044,He,working,singer,reject
sent_0044,He,working,dancer,reject
sent_0044,He,working,comedian,reject
sent_0045,Israel,controlled,sector,reject
sent_0045,sector,captured,Israel,reject
sent_0046,Yaromir,has,Mlada,reject
sent_0048,Cub Scout,are,staff members,reject
sent_0048,Scout camps,are,staff members,reject
sent_0048,Cub Scout camps,are,staff members,reject
sent_0050,Institut Constant de Rebecque,founded,Lausanne,reject
sent_0051,Owen,could believed,small cooperative communities,reject
sent_0051,Henri de Saint-Simon,could believed,small cooperative communities,reject
sent_0051,Owen,could was,utopian socialist movement,reject
sent_0052,Latchford viaduct,operational,when,reject
sent_0052,Latchford viaduct,operational,to make extensive repairs,reject
sent_0052,Latchford viaduct,operational,extensive repairs,reject
sent_0052,Latchford viaduct,operational,repairs,reject
sent_0052,Latchford viaduct,operational,keep,reject
sent_0052,Latchford viaduct,operational,operational,reject
sent_0056,Kazan Dolls Theatre,was,worked,reject
sent_0056,Kazan theatres,was,worked,reject
sent_0061,Arrangements,not were made for,mid-August performances in 1944,reject
sent_0061,Arrangements,not were made for,performances,reject
sent_0061,Arrangements,not were made for,August performances,reject
sent_0061,Arrangements,not were made for,performances in 1944,reject
sent_0061,Arrangements,not were made,in 1944,reject
sent_0061,Arrangements,not were made,performances,reject
sent_0061,Arrangements,not were made,august,reject
sent_0061,Arrangements,not were made,mid august,reject
sent_0061,Joseph Goebbels,not declared,total war,reject
sent_0061,Joseph Goebbels,not declared,war,reject
sent_0061,Joseph Goebbels,not closed,all theatres,reject
sent_0061,Joseph Goebbels,not closed,theatres,reject
sent_0061,Joseph Goebbels,not closed,theatres within the third reich resulting,reject
sent_0061,Joseph Goebbels,not closed,all,reject
sent_0061,Joseph Goebbels,not closed,Third Reich,reject
sent_0061,Joseph Goebbels,not declared,total,reject
sent_0061,Joseph Goebbels,not declared,declared total war,reject
sent_0061,Joseph Goebbels,not closed,theatres within,reject
sent_0061,Joseph Goebbels,not closed,closed all theatres within the third reich,reject
sent_0061,Joseph Goebbels,not closed,theatres within the,reject
sent_0061,The 20 July plot,not was,to assassinate Hitler,reject
sent_0061,The 20 July plot,not was,plot,reject
sent_0061,The 20 July plot,not was,to assassinate,reject
sent_0061,The 20 July plot,not was,assassinate Hitler,reject
sent_0061,Hitler,not was,assassinate,reject
sent_0061,Hitler,not was,the 20 july plot to assassinate,reject
sent_0061,Hitler,not was,plot to assassinate,reject
sent_0061,The Third Reich,not was,closed,reject
sent_0061,The Third Reich,not was,hitler joseph goebbels,unverified
sent_0061,The Third Reich,not was,joseph goebbels,unverified
sent_0061,The Third Reich,not was,closed all theatres,reject
sent_0061,The Third Reich,not was,joseph goebbels declared total war and closed,reject
sent_0061,The Third Reich,not was,closed all theatres,reject
sent_0064,Graves,was forced out,bond,unverified
sent_0071,Blackburne,could not would,the influence,reject
sent_0071,influence,not can be,wielded,reject
sent_0071,Attorney General,could not is,indication of the influence,unverified
sent_0073,Robin,unable work,partners,reject
sent_0073,Robin,unable work,Stephanie,reject
sent_0073,Ariana,unable work,partners,reject
