sent_id,sentence,Subject,Predicate,Object,error_type
sent_0003,"However , Jesus is not accepted as the son by Muslims , who strictly maintain that he was a human being who was loved by God and exalted by God to ranks of the most righteous .",Jesus,not is,a human being,contradiction_or_false
sent_0003,"However , Jesus is not accepted as the son by Muslims , who strictly maintain that he was a human being who was loved by God and exalted by God to ranks of the most righteous .",Jesus,not was loved by,God,contradiction_or_false
sent_0003,"However , Jesus is not accepted as the son by Muslims , who strictly maintain that he was a human being who was loved by God and exalted by God to ranks of the most righteous .",Jesus,not was exalted by,God,contradiction_or_false
sent_0003,"However , Jesus is not accepted as the son by Muslims , who strictly maintain that he was a human being who was loved by God and exalted by God to ranks of the most righteous .",God,not loved,Jesus,contradiction_or_false
sent_0003,"However , Jesus is not accepted as the son by Muslims , who strictly maintain that he was a human being who was loved by God and exalted by God to ranks of the most righteous .",God,not exalted,Jesus,contradiction_or_false
sent_0010,US 258 and NC 122 parallel the river north before the two routes diverge northeast of Tarboro .,NC 122,before,river,low_support
sent_0011,"A number of rare and endemic plants are adapted to the unique limestone soils of the mountains , including the cliffdweller , bristlecone cryptantha , and Inyo rock daisy .",bristlecone cryptantha,is,plants,low_support
sent_0012,"These include any Assistant to the President , Deputy Assistant to the President , and Special Assistant to the President .",Assistant to the President,is,President,contradiction_or_false
sent_0012,"These include any Assistant to the President , Deputy Assistant to the President , and Special Assistant to the President .",Deputy Assistant to the President,is,President,contradiction_or_false
sent_0012,"These include any Assistant to the President , Deputy Assistant to the President , and Special Assistant to the President .",Special Assistant to the President,is,President,low_support
sent_0020,Dripping can be clarified by adding a sliced raw potato and cooking until potato turns brown .,until,can cooking,sliced raw potato,low_support
sent_0026,Byrom Street Cutting became a runaway catch point for runaway trains in the tunnel .,Byrom Street Cutting,became,tunnel,low_support
sent_0026,Byrom Street Cutting became a runaway catch point for runaway trains in the tunnel .,Byrom Street Cutting,became,the tunnel,low_support
sent_0028,"The novel follows Cashel Byron , a world champion prizefighter , as he tries to woo wealthy aristocrat Lydia Carew without revealing his illegal profession .",Cashel Byron,without follows,novel,contradiction_or_false
sent_0028,"The novel follows Cashel Byron , a world champion prizefighter , as he tries to woo wealthy aristocrat Lydia Carew without revealing his illegal profession .",Cashel Byron,without is,world champion prizefighter,contradiction_or_false
sent_0028,"The novel follows Cashel Byron , a world champion prizefighter , as he tries to woo wealthy aristocrat Lydia Carew without revealing his illegal profession .",Cashel Byron,without tries,woo,contradiction_or_false
sent_0028,"The novel follows Cashel Byron , a world champion prizefighter , as he tries to woo wealthy aristocrat Lydia Carew without revealing his illegal profession .",Cashel Byron,without tries,Lydia Carew,contradiction_or_false
sent_0028,"The novel follows Cashel Byron , a world champion prizefighter , as he tries to woo wealthy aristocrat Lydia Carew without revealing his illegal profession .",Cashel Byron,without has,illegal profession,contradiction_or_false
sent_0028,"The novel follows Cashel Byron , a world champion prizefighter , as he tries to woo wealthy aristocrat Lydia Carew without revealing his illegal profession .",Cashel Byron,without woos,Lydia Carew,contradiction_or_false
sent_0029,A different judge then ordered the case reviewed by a higher court .,judge,ordered,case,low_support
sent_0030,"In 1717 Lady Mary Wortley Montagu observed the practice in Istanbul and attempted to popularize it in Britain , but encountered considerable resistance .",Britain,attempted,popularize,low_support
sent_0030,"In 1717 Lady Mary Wortley Montagu observed the practice in Istanbul and attempted to popularize it in Britain , but encountered considerable resistance .",practice,observed,Lady Mary Wortley Montagu,low_support
sent_0031,"Wallonia is also home to about 80 % of the population of the French Community of Belgium , a political level responsible for matters related mainly to culture and education , with the remainder living in Brussels .",Wallonia,is home to,the remainder,low_support
sent_0037,"This used the section of the C&HP line from Buxton as far as Parsley Hay , from where a single line ran south to Ashbourne , where it connected with the North Staffordshire Railway .",Parsley Hay,ran,Ashbourne,low_support
sent_0044,"He returned to Cleveland , working in clubs as a singer , dancer , and comedian , often appearing in character as Prince DuMarr .",He,working,singer,coreference_required
sent_0044,"He returned to Cleveland , working in clubs as a singer , dancer , and comedian , often appearing in character as Prince DuMarr .",He,working,dancer,coreference_required
sent_0044,"He returned to Cleveland , working in clubs as a singer , dancer , and comedian , often appearing in character as Prince DuMarr .",He,working,comedian,coreference_required
sent_0045,The Israeli controlled sector was captured by Israel in the Six-Day War of June 1967 .,Israel,controlled,sector,low_support
sent_0045,The Israeli controlled sector was captured by Israel in the Six-Day War of June 1967 .,sector,captured,Israel,contradiction_or_false
sent_0046,"Voyslava has killed Mlada , Yaromir 's bride , to have him for herself .",Yaromir,has,Mlada,contradiction_or_false
sent_0048,"Many lodge members , youth and adult , are active staff members of both Scout and Cub Scout camps .",Cub Scout,are,staff members,low_support
sent_0048,"Many lodge members , youth and adult , are active staff members of both Scout and Cub Scout camps .",Scout camps,are,staff members,low_support
sent_0048,"Many lodge members , youth and adult , are active staff members of both Scout and Cub Scout camps .",Cub Scout camps,are,staff members,low_support
sent_0050,"The Institut Constant de Rebecque is a Swiss free-market , classical liberal and libertarian think tank founded in January 2005 in Lausanne , named after writer and political philosopher Benjamin Constant .",Institut Constant de Rebecque,founded,Lausanne,low_support
sent_0051,Owen and the French socialist Henri de Saint-Simon were the fathers of the utopian socialist movement ; they believed that the ills of industrial work relations could be removed by the establishment of small cooperative communities .,Owen,could believed,small cooperative communities,low_support
sent_0051,Owen and the French socialist Henri de Saint-Simon were the fathers of the utopian socialist movement ; they believed that the ills of industrial work relations could be removed by the establishment of small cooperative communities .,Henri de Saint-Simon,could believed,small cooperative communities,low_support
sent_0051,Owen and the French socialist Henri de Saint-Simon were the fathers of the utopian socialist movement ; they believed that the ills of industrial work relations could be removed by the establishment of small cooperative communities .,Owen,could was,utopian socialist movement,low_support
sent_0052,"It finally closed to all traffic in July 1985 , when it was deemed too expensive to make extensive repairs to keep Latchford viaduct operational .",Latchford viaduct,operational,when,contradiction_or_false
sent_0052,"It finally closed to all traffic in July 1985 , when it was deemed too expensive to make extensive repairs to keep Latchford viaduct operational .",Latchford viaduct,operational,to make extensive repairs,contradiction_or_false
sent_0052,"It finally closed to all traffic in July 1985 , when it was deemed too expensive to make extensive repairs to keep Latchford viaduct operational .",Latchford viaduct,operational,extensive repairs,contradiction_or_false
sent_0052,"It finally closed to all traffic in July 1985 , when it was deemed too expensive to make extensive repairs to keep Latchford viaduct operational .",Latchford viaduct,operational,repairs,contradiction_or_false
sent_0052,"It finally closed to all traffic in July 1985 , when it was deemed too expensive to make extensive repairs to keep Latchford viaduct operational .",Latchford viaduct,operational,keep,contradiction_or_false
sent_0052,"It finally closed to all traffic in July 1985 , when it was deemed too expensive to make extensive repairs to keep Latchford viaduct operational .",Latchford viaduct,operational,operational,contradiction_or_false
sent_0056,"From 1953 till 1957 Speranskaya worked as chief artist in Kazan Dolls Theatre , since 1957 she worked as stage-artist director in Kazan theatres , also she was invited to other cities of Russian Federation .",Kazan Dolls Theatre,was,worked,low_support
sent_0056,"From 1953 till 1957 Speranskaya worked as chief artist in Kazan Dolls Theatre , since 1957 she worked as stage-artist director in Kazan theatres , also she was invited to other cities of Russian Federation .",Kazan theatres,was,worked,low_support
sent_0061,"Arrangements were made for mid-August performances in 1944 , but , following the 20 July plot to assassinate Hitler , Joseph Goebbels declared `` total war '' and closed all theatres within the Third Reich , resulting in the work not being allowed a public staging .",Arrangements,not were made for,mid-August performances in 1944,contradiction_or_false
sent_0061,"Arrangements were made for mid-August performances in 1944 , but , following the 20 July plot to assassinate Hitler , Joseph Goebbels declared `` total war '' and closed all theatres within the Third Reich , resulting in the work not being allowed a public staging .",Arrangements,not were made for,performances,contradiction_or_false
sent_0061,"Arrangements were made for mid-August performances in 1944 , but , following the 20 July plot to assassinate Hitler , Joseph Goebbels declared `` total war '' and closed all theatres within the Third Reich , resulting in the work not being allowed a public staging .",Arrangements,not were made for,August performances,contradiction_or_false
sent_0061,"Arrangements were made for mid-August performances in 1944 , but , following the 20 July plot to assassinate Hitler , Joseph Goebbels declared `` total war '' and closed all theatres within the Third Reich , resulting in the work not being allowed a public staging .",Arrangements,not were made for,performances in 1944,contradiction_or_false
sent_0061,"Arrangements were made for mid-August performances in 1944 , but , following the 20 July plot to assassinate Hitler , Joseph Goebbels declared `` total war '' and closed all theatres within the Third Reich , resulting in the work not being allowed a public staging .",Arrangements,not were made,in 1944,contradiction_or_false
sent_0061,"Arrangements were made for mid-August performances in 1944 , but , following the 20 July plot to assassinate Hitler , Joseph Goebbels declared `` total war '' and closed all theatres within the Third Reich , resulting in the work not being allowed a public staging .",Arrangements,not were made,performances,contradiction_or_false
sent_0061,"Arrangements were made for mid-August performances in 1944 , but , following the 20 July plot to assassinate Hitler , Joseph Goebbels declared `` total war '' and closed all theatres within the Third Reich , resulting in the work not being allowed a public staging .",Arrangements,not were made,august,contradiction_or_false
sent_0061,"Arrangements were made for mid-August performances in 1944 , but , following the 20 July plot to assassinate Hitler , Joseph Goebbels declared `` total war '' and closed all theatres within the Third Reich , resulting in the work not being allowed a public staging .",Arrangements,not were made,mid august,contradiction_or_false
