pred_s,pred_p,pred_o,gt_s,gt_p,gt_o,tier,triple_sim
finding,indicates,that,,,,no_match,0.0
finding,shows,organic compounds,,,,no_match,0.0
finding,indicates,current,,,,no_match,0.0
blagoja billy celeski,plays,australian footballer,,,,no_match,0.0
blagoja billy celeski,plays,for,,,,no_match,0.0
tom bradley,joined,goods depot,,,,no_match,0.0
tom bradley,joined,kettering,,,,no_match,0.0
london,midland and scottish railway company,employed tom bradley,,,,no_match,0.0
goods depot,located,kettering,,,,no_match,0.0
1941,year,tom bradley joined,,,,no_match,0.0
jesus,loved by,god,,,,no_match,0.0
jesus,exalted by,god,,,,no_match,0.0
god,loved,jesus,,,,no_match,0.0
god,exalted,jesus,,,,no_match,0.0
gideon rodan,taught,university connecticut,,,,no_match,0.0
gideon rodan,taught,school dental medicine,,,,no_match,0.0
gideon rodan,worked at,university connecticut school dental medicine,,,,no_match,0.0
gideon rodan,worked at,university connecticut,,,,no_match,0.0
gideon rodan,worked at,school dental medicine,,,,no_match,0.0
gideon rodan,worked at,merck,,,,no_match,0.0
fight,ended,with,,,,no_match,0.0
hezbollah,launched,rocket attacks raids,,,,no_match,0.0
hezbollah,launched,israeli territory,,,,no_match,0.0
courtelary,mentioned in,968,,,,no_match,0.0
moutier grandval abbey,property,curtis alerici,,,,no_match,0.0
strike,addressed,public meetings,,,,no_match,0.0
workers,addressed,public meetings,,,,no_match,0.0
janet jagan,addressed,public meetings,,,,no_match,0.0
leaders giwu,addressed,public meetings,,,,no_match,0.0
nc 122,diverge,northeast tarboro,,,,no_match,0.0
us 258,and,nc 122,,,,no_match,0.0
us 258,before,river,,,,no_match,0.0
nc 122,before,river,,,,no_match,0.0
plants,adapted to,mountains,,,,no_match,0.0
plants,include,cliffdweller,,,,no_match,0.0
plants,include,inyo rock daisy,,,,no_match,0.0
special assistant president,a type of,assistant president,,,,no_match,0.0
he,played,64 games,,,,no_match,0.0
he,slugged,535,,,,no_match,0.0
they,known,as,,,,no_match,0.0
she,resigns,after,,,,no_match,0.0
sullivan county,located in,pennsylvania,,,,no_match,0.0
muncy creek,flows along,border,,,,no_match,0.0
muncy creek,flows along,penn township,,,,no_match,0.0
rsno,base,royal concert hall,,,,no_match,0.0
rsno,new base,royal concert hall,,,,no_match,0.0
dripping,can be clarified,adding,,,,no_match,0.0
sliced raw potato,added,dripping,,,,no_match,0.0
sliced raw potato,cooked,until,,,,no_match,0.0
sliced raw potato,turns,brown,,,,no_match,0.0
until,cooking,sliced raw potato,,,,no_match,0.0
character,states,that,,,,no_match,0.0
character,assures,you,,,,no_match,0.0
map,used,country,,,,no_match,0.0
map,does,nearly well,,,,no_match,0.0
they,gained,promotion,,,,no_match,0.0
they,gained,promotion 1974,,,,no_match,0.0
they,gained promotion to,first division,,,,no_match,0.0
they,gained promotion in,1974,,,,no_match,0.0
they,returned,first attempt,,,,no_match,0.0
they,gained,first division,,,,no_match,0.0
they,gained,1974,,,,no_match,0.0
he,of,kent,,,,no_match,0.0
he,in,july 1946,,,,no_match,0.0
king,refers to,writings,,,,no_match,0.0
king,refers to,contradictions,,,,no_match,0.0
king,refers to,material reality,,,,no_match,0.0
king,refers to,upbringing,,,,no_match,0.0
king,refers to,snobbish behavior,,,,no_match,0.0
mclay,suggests,that,,,,no_match,0.0
songs,negate,a,,,,no_match,0.0
many,consider,be,,,,no_match,0.0
byrom street cutting,became,runaway catch point,,,,no_match,0.0
byrom street cutting,became,catch point,,,,no_match,0.0
byrom street cutting,became,runaway,,,,no_match,0.0
byrom street cutting,became,point,,,,no_match,0.0
byrom street cutting,became,for,,,,no_match,0.0
byrom street cutting,became,a,,,,no_match,0.0
byrom street cutting,became,tunnel,,,,no_match,0.0
byrom street cutting,became,in,,,,no_match,0.0
cashel byron,tries,woo,,,,no_match,0.0
cashel byron,tries,lydia carew,,,,no_match,0.0
judge,ordered,case,,,,no_match,0.0
judge,reviewed,case,,,,no_match,0.0
istanbul,observed,practice,,,,no_match,0.0
britain,attempted,popularize,,,,no_match,0.0
practice,observed,lady mary wortley montagu,,,,no_match,0.0
resistance,encountered,lady mary wortley montagu,,,,no_match,0.0
wallonia,home to,remainder,,,,no_match,0.0
french community belgium,responsible for,matters,,,,no_match,0.0
french community belgium,responsible for,education,,,,no_match,0.0
thermal expansion,caused by,thermal relief valves,,,,no_match,0.0
original celtics,in,1920s,,,,no_match,0.0
thought,becomes,more inward spiritual,,,,no_match,0.0
god,desires,man s observance,,,,no_match,0.0
replica,of,shiva lingam,,,,no_match,0.0
quanzhou,speaks,minnan languages,,,,no_match,0.0
parsley hay,ran,ashbourne,,,,no_match,0.0
parsley hay,connected,north staffordshire railway,,,,no_match,0.0
form violence,occurs,other domestic relationships,,,,no_match,0.0
second session,produced,i ve just got forget you,,,,no_match,0.0
joe primrose,created,st james infirmary,,,,no_match,0.0
he,served,year,,,,no_match,0.0
she,began,1947,,,,no_match,0.0
she,began,new oath,,,,no_match,0.0
she,started,1947,,,,no_match,0.0
she,started,new oath,,,,no_match,0.0
she,made,film,,,,no_match,0.0
she,made,1947,,,,no_match,0.0
continuing duties,became,specified,,,,no_match,0.0
manumission agreements,specify,duties,,,,no_match,0.0
duties,continue,into,,,,no_match,0.0
manumission agreements,contain,duties,,,,no_match,0.0
he,working,clubs,,,,no_match,0.0
he,working,singer,,,,no_match,0.0
he,working,dancer,,,,no_match,0.0
he,working,comedian,,,,no_match,0.0
he,appearing,character,,,,no_match,0.0
israel,controlled,sector,,,,no_match,0.0
sector,captured,israel,,,,no_match,0.0
israel,captured,sector,,,,no_match,0.0
israel,captured,six day war,,,,no_match,0.0
six day war,occurred,june 1967,,,,no_match,0.0
israel,captured in,six day war,,,,no_match,0.0
six day war,involved,israel,,,,no_match,0.0
these tracks,been included,cd reissues album,,,,no_match,0.0
these tracks,been included,cd reissues,,,,no_match,0.0
these tracks,been included,album,,,,no_match,0.0
these tracks,been included,plan,,,,no_match,0.0
institut constant de rebecque,founded,january 2005,,,,no_match,0.0
institut constant de rebecque,named,after,,,,no_match,0.0
owen,believed,ills,,,,no_match,0.0
owen,believed,industrial work relations,,,,no_match,0.0
owen,believed,establishment,,,,no_match,0.0
henri de saint simon,believed,ills,,,,no_match,0.0
henri de saint simon,believed,establishment,,,,no_match,0.0
latchford viaduct,deemed,too expensive,,,,no_match,0.0
latchford viaduct,operational,when,,,,no_match,0.0
latchford viaduct,operational,it was deemed too expensive make extensive repairs,,,,no_match,0.0
latchford viaduct,operational,it was deemed too expensive,,,,no_match,0.0
latchford viaduct,operational,make extensive repairs,,,,no_match,0.0
latchford viaduct,operational,extensive repairs,,,,no_match,0.0
latchford viaduct,operational,repairs,,,,no_match,0.0
latchford viaduct,operational,keep operational,,,,no_match,0.0
latchford viaduct,operational,keep,,,,no_match,0.0
latchford viaduct,too expensive,make extensive repairs,,,,no_match,0.0
latchford viaduct,too expensive,extensive repairs,,,,no_match,0.0
latchford viaduct,too expensive,repairs,,,,no_match,0.0
latchford viaduct,july 1985,closed,,,,no_match,0.0
