sent_id,sentence,perseus_preds,perseus_TP,perseus_FP
sent_0000,This finding indicated that organic compounds could carry current .,3,1,2
sent_0001,Blagoja ` Billy ' Celeski is an Australian footballer who plays as a midfielder for the Newcastle Jets .,3,2,1
sent_0002,"Tom Bradley joined the London , Midland and Scottish Railway Company as a junior clerk in the Goods Depot at Kettering i",5,2,3
sent_0003,"However , Jesus is not accepted as the son by Muslims , who strictly maintain that he was a human being who was loved by",1,1,0
sent_0004,"From 1970 to 1985 , Gideon Rodan taught at the University of Connecticut School of Dental Medicine until he switched ove",4,2,2
sent_0005,"After a short absence Keibler began a short feud with the evil Jillian Hall , which led to the two having a match on `` ",4,3,1
sent_0006,Walcott was brought on one knee in the third round and the fight ended with hardly a scratch on Langford .,2,2,0
sent_0007,"On 12 July 2006 , Hezbollah launched a series of rocket attacks and raids into Israeli territory , where they killed thr",5,3,2
sent_0008,Courtelary is first mentioned in 968 as `` Curtis Alerici '' in a list of the properties of Moutier-Grandval Abbey .,2,1,1
sent_0009,"The strike obtained political support from the Political Affairs Committee , and the workers were addressed at numerous ",6,2,4
sent_0010,US 258 and NC 122 parallel the river north before the two routes diverge northeast of Tarboro .,5,4,1
sent_0011,"A number of rare and endemic plants are adapted to the unique limestone soils of the mountains , including the cliffdwel",4,1,3
sent_0012,"These include any Assistant to the President , Deputy Assistant to the President , and Special Assistant to the Presiden",0,0,0
sent_0013,He was awarded the Queen 's Police Medal in the 1957 New Year Honours .,2,2,0
sent_0014,"with a .535 slugging percentage , and the Astros , where he batted .260 in 64 games , primarily at second base .",1,1,0
sent_0015,They are also known in Japan as `` Northern Territories '' .,1,1,0
sent_0016,She resigns after the events of `` The Last Precinct '' and relocates to Florida to become a private forensic consultant,2,2,0
sent_0017,"Upon exiting Davidson Township , Sullivan County , Muncy Creek enters Lycoming County and flows along the border between",4,2,2
sent_0018,"Although the villages were located close to industrial sites , they were generally physically separated from them and ge",5,2,3
sent_0019,The RSNO 's base is at Henry Wood Hall in Glasgow and is also used as its recording venue ; a new base is being construc,6,4,2
sent_0020,Dripping can be clarified by adding a sliced raw potato and cooking until potato turns brown .,5,1,4
sent_0021,"A character notes some practical difficulties with such a map and states that `` we now use the country itself , as its ",3,1,2
sent_0022,"Having returned to the Second Division at the first attempt , they gained promotion to the First Division in 1974 .",9,2,7
sent_0023,He stayed for less than a year before being appointed Chief Constable of Kent in July 1946 .,3,3,0
sent_0024,"In many of her writings , King often refers to the comical contradictions between the material reality of her upbringing",7,2,5
sent_0025,McLay also suggests that the songs negate what many consider to be a `` heretical '' ending for a comedy .,2,0,2
sent_0026,Byrom Street Cutting became a runaway catch point for runaway trains in the tunnel .,8,1,7
sent_0027,"The division maintained defensive positions until the offensive of 23 May , when it broke out of the beachhead , took Ci",4,4,0
sent_0028,"The novel follows Cashel Byron , a world champion prizefighter , as he tries to woo wealthy aristocrat Lydia Carew witho",0,0,0
sent_0029,A different judge then ordered the case reviewed by a higher court .,3,2,1
sent_0030,"In 1717 Lady Mary Wortley Montagu observed the practice in Istanbul and attempted to popularize it in Britain , but enco",6,4,2
sent_0031,"Wallonia is also home to about 80 % of the population of the French Community of Belgium , a political level responsible",5,3,2
sent_0032,"For liquid-packed vessels , thermal relief valves are generally characterized by the relatively small size of the valve ",4,3,1
sent_0033,The Original Celtics were a barnstorming professional basketball team in the 1920s .,0,0,0
sent_0034,"As the student of Torah ascends through the thought of the Pardes system , as the interpretations become more inward and",5,3,2
