sent_id,Subject,Predicate,Object,reason
sent_0003,Jesus,not is,a human being,reject
sent_0003,Jesus,not was loved by,God,reject
sent_0003,Jesus,not was exalted by,God,reject
sent_0003,God,not loved,Jesus,reject
sent_0003,God,not exalted,Jesus,reject
sent_0012,Assistant to the President,is,President,reject
sent_0012,Deputy Assistant to the President,is,President,reject
sent_0012,Special Assistant to the President,is,President,unverified
sent_0019,RSNO,has base,Royal Concert Hall,unverified
sent_0027,The division,may took,Cisterna,unverified
sent_0028,Cashel Byron,without follows,novel,reject
sent_0028,Cashel Byron,without is,world champion prizefighter,reject
sent_0028,Cashel Byron,without tries,woo,reject
sent_0028,Cashel Byron,without tries,Lydia Carew,reject
sent_0028,Cashel Byron,without has,illegal profession,reject
sent_0028,Lydia Carew,without is,wealthy aristocrat,unverified
sent_0028,Cashel Byron,without woos,Lydia Carew,reject
sent_0031,Wallonia,is home to,the remainder,unverified
sent_0045,sector,captured,Israel,reject
sent_0046,Yaromir,has,Mlada,reject
sent_0052,Latchford viaduct,operational,when,reject
sent_0052,Latchford viaduct,operational,to make extensive repairs,reject
sent_0052,Latchford viaduct,operational,extensive repairs,reject
sent_0052,Latchford viaduct,operational,repairs,reject
sent_0052,Latchford viaduct,operational,keep latchford viaduct operational,unverified
sent_0052,Latchford viaduct,operational,keep latchford viaduct operational,unverified
sent_0052,Latchford viaduct,operational,keep,reject
sent_0052,Latchford viaduct,operational,operational,reject
sent_0061,Arrangements,not were made for,mid-August performances in 1944,reject
sent_0061,Arrangements,not were made for,performances,reject
sent_0061,Arrangements,not were made for,August performances,reject
sent_0061,Arrangements,not were made for,performances in 1944,reject
sent_0061,Arrangements,not were made,in 1944,reject
sent_0061,Arrangements,not were made,performances,reject
sent_0061,Arrangements,not were made,august,reject
sent_0061,Arrangements,not were made,mid august,reject
sent_0061,Joseph Goebbels,not declared,total war,reject
sent_0061,Joseph Goebbels,not declared,war,reject
sent_0061,Joseph Goebbels,not closed,all theatres,reject
sent_0061,Joseph Goebbels,not closed,theatres,reject
sent_0061,Joseph Goebbels,not closed,theatres within the third reich resulting,reject
sent_0061,Joseph Goebbels,not closed,all,reject
sent_0061,Joseph Goebbels,not closed,Third Reich,reject
sent_0061,Joseph Goebbels,not declared,total,reject
sent_0061,Joseph Goebbels,not declared,declared total war,reject
sent_0061,Joseph Goebbels,not closed,theatres within,reject
sent_0061,Joseph Goebbels,not closed,closed all theatres within the third reich,reject
sent_0061,Joseph Goebbels,not closed,theatres within the,reject
sent_0061,The 20 July plot,not was,to assassinate Hitler,reject
sent_0061,The 20 July plot,not was,plot,reject
sent_0061,The 20 July plot,not was,to assassinate,reject
sent_0061,The 20 July plot,not was,assassinate Hitler,reject
sent_0061,Hitler,not was,assassinate,unverified
sent_0061,Hitler,not was,the 20 july plot to assassinate,reject
sent_0061,Hitler,not was,plot to assassinate,reject
sent_0061,The Third Reich,not was,closed,reject
sent_0061,The Third Reich,not was,hitler joseph goebbels,unverified
sent_0061,The Third Reich,not was,joseph goebbels,unverified
sent_0061,The Third Reich,not was,closed all theatres,unverified
sent_0061,The Third Reich,not was,closed all theatres,unverified
sent_0064,Graves,was forced out,bond,unverified
sent_0071,Blackburne,could not would,the influence,reject
sent_0071,influence,not can be,wielded,reject
sent_0071,Attorney General,could not is,indication of the influence,reject
sent_0073,Robin,unable work,partners,reject
sent_0073,Robin,unable work,Stephanie,reject
sent_0073,Ariana,unable work,partners,reject
sent_0073,Ariana,unable work,Robin,unverified
sent_0073,Robin,unable grow,closer,reject
sent_0073,Stephanie,unable grow,closer,reject
sent_0078,Overseas teams,would not return,Russia,unverified
sent_0078,Overseas teams,not return,1998,reject
sent_0078,Overseas teams,not return,Moscow,reject
sent_0078,Russia,would not return,Overseas teams,reject
sent_0078,A youth tournament,not is held,Moscow,reject
sent_0085,Charles,not prorogued,parliament,reject
sent_0085,parliament,not was,prorogued,reject
sent_0101,smaller boats,can turning turtle,is less frequent but more dangerous,unverified
sent_0105,objects,not be,away,reject
sent_0105,objects,not be,far,reject
sent_0110,Legislation,removes,death benefits,unverified
sent_0110,Legislation,removes,police officers,reject
sent_0110,Legislation,removes,firefighters,reject
sent_0111,surface,has nature,ionic,unverified
sent_0111,surface,has nature,polar,unverified
sent_0123,patients,not includes,support groups,reject
sent_0123,patients,not includes,psychotherapy,reject
sent_0124,The narrator,not has,suitcase,reject
sent_0124,The narrator,not grabbed,suitcase,reject
