sent_id,Subject,Predicate,Object,sentence,final_decision,pred_has_negation
sent_0003,Jesus,is not accepted as,the son,"However , Jesus is not accepted as the son by Muslims , who strictly maintain that he was a human being who was loved by God and exalted by God to ranks of the most righteous .",ACCEPT,True
sent_0003,Jesus,not is,a human being,"However , Jesus is not accepted as the son by Muslims , who strictly maintain that he was a human being who was loved by God and exalted by God to ranks of the most righteous .",REJECT,True
sent_0003,Jesus,not was loved by,God,"However , Jesus is not accepted as the son by Muslims , who strictly maintain that he was a human being who was loved by God and exalted by God to ranks of the most righteous .",REJECT,True
sent_0003,Jesus,not was exalted by,God,"However , Jesus is not accepted as the son by Muslims , who strictly maintain that he was a human being who was loved by God and exalted by God to ranks of the most righteous .",REJECT,True
sent_0003,God,not loved,Jesus,"However , Jesus is not accepted as the son by Muslims , who strictly maintain that he was a human being who was loved by God and exalted by God to ranks of the most righteous .",REJECT,True
sent_0003,God,not exalted,Jesus,"However , Jesus is not accepted as the son by Muslims , who strictly maintain that he was a human being who was loved by God and exalted by God to ranks of the most righteous .",REJECT,True
sent_0028,Cashel Byron,without follows,novel,"The novel follows Cashel Byron , a world champion prizefighter , as he tries to woo wealthy aristocrat Lydia Carew without revealing his illegal profession .",REJECT,True
sent_0028,Cashel Byron,without is,world champion prizefighter,"The novel follows Cashel Byron , a world champion prizefighter , as he tries to woo wealthy aristocrat Lydia Carew without revealing his illegal profession .",REJECT,True
sent_0028,Cashel Byron,without tries,woo,"The novel follows Cashel Byron , a world champion prizefighter , as he tries to woo wealthy aristocrat Lydia Carew without revealing his illegal profession .",REJECT,True
sent_0028,Cashel Byron,without tries,Lydia Carew,"The novel follows Cashel Byron , a world champion prizefighter , as he tries to woo wealthy aristocrat Lydia Carew without revealing his illegal profession .",REJECT,True
sent_0028,Cashel Byron,without has,illegal profession,"The novel follows Cashel Byron , a world champion prizefighter , as he tries to woo wealthy aristocrat Lydia Carew without revealing his illegal profession .",REJECT,True
sent_0028,Lydia Carew,without is,wealthy aristocrat,"The novel follows Cashel Byron , a world champion prizefighter , as he tries to woo wealthy aristocrat Lydia Carew without revealing his illegal profession .",UNVERIFIED,True
sent_0028,Cashel Byron,without woos,Lydia Carew,"The novel follows Cashel Byron , a world champion prizefighter , as he tries to woo wealthy aristocrat Lydia Carew without revealing his illegal profession .",REJECT,True
sent_0061,Arrangements,not were made for,mid-August performances in 1944,"Arrangements were made for mid-August performances in 1944 , but , following the 20 July plot to assassinate Hitler , Joseph Goebbels declared `` total war '' and closed all theatres within the Third Reich , resulting in the work not being allowed a public staging .",REJECT,True
sent_0061,Arrangements,not were made for,performances,"Arrangements were made for mid-August performances in 1944 , but , following the 20 July plot to assassinate Hitler , Joseph Goebbels declared `` total war '' and closed all theatres within the Third Reich , resulting in the work not being allowed a public staging .",REJECT,True
