sent_id,sentence,Subject,Predicate,Object
sent_0000,This finding indicated that organic compounds could carry current .,This finding,could shows,organic compounds
sent_0000,This finding indicated that organic compounds could carry current .,This finding,could indicates,current
sent_0000,This finding indicated that organic compounds could carry current .,Organic compounds,can carry,current
sent_0001,Blagoja ` Billy ' Celeski is an Australian footballer who plays as a midfielder for the Newcastle Jets .,Blagoja 'Billy' Celeski,plays,midfielder
sent_0001,Blagoja ` Billy ' Celeski is an Australian footballer who plays as a midfielder for the Newcastle Jets .,Blagoja 'Billy' Celeski,plays,Australian footballer
sent_0001,Blagoja ` Billy ' Celeski is an Australian footballer who plays as a midfielder for the Newcastle Jets .,Blagoja 'Billy' Celeski,plays,Newcastle Jets
sent_0002,"Tom Bradley joined the London , Midland and Scottish Railway Company as a junior clerk in the Goods Depot at Kettering in 1941 .",Tom Bradley,joined,"London, Midland and Scottish Railway Company"
sent_0002,"Tom Bradley joined the London , Midland and Scottish Railway Company as a junior clerk in the Goods Depot at Kettering in 1941 .",Tom Bradley,joined,Goods Depot
sent_0002,"Tom Bradley joined the London , Midland and Scottish Railway Company as a junior clerk in the Goods Depot at Kettering in 1941 .",Tom Bradley,joined,Kettering
sent_0002,"Tom Bradley joined the London , Midland and Scottish Railway Company as a junior clerk in the Goods Depot at Kettering in 1941 .",Tom Bradley,joined,1941
sent_0002,"Tom Bradley joined the London , Midland and Scottish Railway Company as a junior clerk in the Goods Depot at Kettering in 1941 .",London,midland and scottish railway company,tom bradley
sent_0003,"However , Jesus is not accepted as the son by Muslims , who strictly maintain that he was a human being who was loved by God and exalted by God to ranks of the most righteous .",Jesus,is not accepted as,the son
sent_0004,"From 1970 to 1985 , Gideon Rodan taught at the University of Connecticut School of Dental Medicine until he switched over to Merck .",Gideon Rodan,taught,University of Connecticut School of Dental Medicine
sent_0004,"From 1970 to 1985 , Gideon Rodan taught at the University of Connecticut School of Dental Medicine until he switched over to Merck .",Gideon Rodan,taught,University of Connecticut
sent_0004,"From 1970 to 1985 , Gideon Rodan taught at the University of Connecticut School of Dental Medicine until he switched over to Merck .",Gideon Rodan,taught,School of Dental Medicine
sent_0004,"From 1970 to 1985 , Gideon Rodan taught at the University of Connecticut School of Dental Medicine until he switched over to Merck .",Gideon Rodan,switched,Merck
sent_0005,"After a short absence Keibler began a short feud with the evil Jillian Hall , which led to the two having a match on `` Velocity '' , which Keibler lost .",Keibler,began,a short feud
sent_0005,"After a short absence Keibler began a short feud with the evil Jillian Hall , which led to the two having a match on `` Velocity '' , which Keibler lost .",Keibler,lost,a match
sent_0005,"After a short absence Keibler began a short feud with the evil Jillian Hall , which led to the two having a match on `` Velocity '' , which Keibler lost .",Jillian Hall,was,the evil
sent_0005,"After a short absence Keibler began a short feud with the evil Jillian Hall , which led to the two having a match on `` Velocity '' , which Keibler lost .",a short feud,led to,a match
sent_0006,Walcott was brought on one knee in the third round and the fight ended with hardly a scratch on Langford .,Walcott,was brought,one knee
sent_0006,Walcott was brought on one knee in the third round and the fight ended with hardly a scratch on Langford .,the fight,ended,hardly a scratch on
sent_0007,"On 12 July 2006 , Hezbollah launched a series of rocket attacks and raids into Israeli territory , where they killed three Israeli soldiers and captured a further two .",Hezbollah,launched,series of rocket attacks and raids
sent_0007,"On 12 July 2006 , Hezbollah launched a series of rocket attacks and raids into Israeli territory , where they killed three Israeli soldiers and captured a further two .",Hezbollah,launched,rocket attacks and raids
sent_0007,"On 12 July 2006 , Hezbollah launched a series of rocket attacks and raids into Israeli territory , where they killed three Israeli soldiers and captured a further two .",Hezbollah,launched,into Israeli territory
sent_0007,"On 12 July 2006 , Hezbollah launched a series of rocket attacks and raids into Israeli territory , where they killed three Israeli soldiers and captured a further two .",Hezbollah,killed,three Israeli soldiers
sent_0007,"On 12 July 2006 , Hezbollah launched a series of rocket attacks and raids into Israeli territory , where they killed three Israeli soldiers and captured a further two .",Hezbollah,captured,israeli soldiers
sent_0008,Courtelary is first mentioned in 968 as `` Curtis Alerici '' in a list of the properties of Moutier-Grandval Abbey .,Courtelary,is mentioned in,968
sent_0008,Courtelary is first mentioned in 968 as `` Curtis Alerici '' in a list of the properties of Moutier-Grandval Abbey .,Courtelary,is mentioned as,Curtis Alerici
sent_0009,"The strike obtained political support from the Political Affairs Committee , and the workers were addressed at numerous public meetings by Dr. Cheddi Jagan , Janet Jagan and leaders of the GIWU .",The strike,obtained,political support
sent_0009,"The strike obtained political support from the Political Affairs Committee , and the workers were addressed at numerous public meetings by Dr. Cheddi Jagan , Janet Jagan and leaders of the GIWU .",The strike,was addressed,public meetings
sent_0009,"The strike obtained political support from the Political Affairs Committee , and the workers were addressed at numerous public meetings by Dr. Cheddi Jagan , Janet Jagan and leaders of the GIWU .",The workers,were addressed,public meetings
sent_0009,"The strike obtained political support from the Political Affairs Committee , and the workers were addressed at numerous public meetings by Dr. Cheddi Jagan , Janet Jagan and leaders of the GIWU .",Dr. Cheddi Jagan,addressed,public meetings
sent_0009,"The strike obtained political support from the Political Affairs Committee , and the workers were addressed at numerous public meetings by Dr. Cheddi Jagan , Janet Jagan and leaders of the GIWU .",Janet Jagan,addressed,public meetings
sent_0009,"The strike obtained political support from the Political Affairs Committee , and the workers were addressed at numerous public meetings by Dr. Cheddi Jagan , Janet Jagan and leaders of the GIWU .",Leaders of the GIWU,addressed,public meetings
sent_0010,US 258 and NC 122 parallel the river north before the two routes diverge northeast of Tarboro .,US 258,parallel,river
sent_0010,US 258 and NC 122 parallel the river north before the two routes diverge northeast of Tarboro .,NC 122,parallel,river
sent_0010,US 258 and NC 122 parallel the river north before the two routes diverge northeast of Tarboro .,US 258,diverge,northeast of Tarboro
sent_0010,US 258 and NC 122 parallel the river north before the two routes diverge northeast of Tarboro .,NC 122,diverge,northeast of Tarboro
sent_0010,US 258 and NC 122 parallel the river north before the two routes diverge northeast of Tarboro .,US 258,before,river
sent_0011,"A number of rare and endemic plants are adapted to the unique limestone soils of the mountains , including the cliffdweller , bristlecone cryptantha , and Inyo rock daisy .",plants,are adapted to,limestone soils
sent_0011,"A number of rare and endemic plants are adapted to the unique limestone soils of the mountains , including the cliffdweller , bristlecone cryptantha , and Inyo rock daisy .",plants,are adapted to,mountains
sent_0011,"A number of rare and endemic plants are adapted to the unique limestone soils of the mountains , including the cliffdweller , bristlecone cryptantha , and Inyo rock daisy .",cliffdweller,is,plants
sent_0011,"A number of rare and endemic plants are adapted to the unique limestone soils of the mountains , including the cliffdweller , bristlecone cryptantha , and Inyo rock daisy .",Inyo rock daisy,is,plants
sent_0013,He was awarded the Queen 's Police Medal in the 1957 New Year Honours .,He,was awarded,Queen's Police Medal
sent_0013,He was awarded the Queen 's Police Medal in the 1957 New Year Honours .,He,was awarded,1957 New Year Honours
sent_0014,"with a .535 slugging percentage , and the Astros , where he batted .260 in 64 games , primarily at second base .",he,batted,.260
sent_0015,They are also known in Japan as `` Northern Territories '' .,They,known as,Northern Territories
sent_0016,She resigns after the events of `` The Last Precinct '' and relocates to Florida to become a private forensic consultant .,She,resigns,after
sent_0016,She resigns after the events of `` The Last Precinct '' and relocates to Florida to become a private forensic consultant .,She,relocates,Florida
sent_0017,"Upon exiting Davidson Township , Sullivan County , Muncy Creek enters Lycoming County and flows along the border between Shrewsbury Township and Penn Township for several miles .",Muncy Creek,enters,Lycoming County
