pred_s,pred_p,pred_o,gt_s,gt_p,gt_o,tier,triple_sim
finding,could shows,organic compounds,,,,no_match,0.0
finding,could indicates,current,,,,no_match,0.0
blagoja billy celeski,plays,australian footballer,,,,no_match,0.0
tom bradley,joined,goods depot,,,,no_match,0.0
tom bradley,joined,kettering,,,,no_match,0.0
london,midland and scottish railway company,tom bradley,,,,no_match,0.0
gideon rodan,taught,university connecticut,,,,no_match,0.0
gideon rodan,taught,school dental medicine,,,,no_match,0.0
hezbollah,launched,rocket attacks raids,,,,no_match,0.0
hezbollah,launched,israeli territory,,,,no_match,0.0
courtelary,mentioned in,968,,,,no_match,0.0
strike,addressed,public meetings,,,,no_match,0.0
workers,addressed,public meetings,,,,no_match,0.0
janet jagan,addressed,public meetings,,,,no_match,0.0
leaders giwu,addressed,public meetings,,,,no_match,0.0
nc 122,diverge,northeast tarboro,,,,no_match,0.0
plants,adapted to,mountains,,,,no_match,0.0
muncy creek,flows along,border,,,,no_match,0.0
muncy creek,flows along,penn township,,,,no_match,0.0
rsno,base,royal concert hall,,,,no_match,0.0
rsno,new base,royal concert hall,,,,no_match,0.0
dripping,can be clarified,adding,,,,no_match,0.0
sliced raw potato,can is added,dripping,,,,no_match,0.0
sliced raw potato,can is cooked,until,,,,no_match,0.0
sliced raw potato,can turns,brown,,,,no_match,0.0
map,does,nearly well,,,,no_match,0.0
they,gained,promotion,,,,no_match,0.0
they,gained promotion to,first division,,,,no_match,0.0
they,gained promotion in,1974,,,,no_match,0.0
they,returned,first attempt,,,,no_match,0.0
they,gained,first division,,,,no_match,0.0
they,gained,1974,,,,no_match,0.0
king,refers to,contradictions,,,,no_match,0.0
king,refers to,material reality,,,,no_match,0.0
king,refers to,upbringing,,,,no_match,0.0
king,refers to,behavior,,,,no_match,0.0
king,refers to,snobbish behavior,,,,no_match,0.0
songs,suggests negate,what,,,,no_match,0.0
many,suggests consider,be,,,,no_match,0.0
byrom street cutting,became,runaway catch point,,,,no_match,0.0
byrom street cutting,became,catch point,,,,no_match,0.0
byrom street cutting,became,runaway,,,,no_match,0.0
byrom street cutting,became,point,,,,no_match,0.0
judge,reviewed,case,,,,no_match,0.0
istanbul,observed,practice,,,,no_match,0.0
resistance,encountered,lady mary wortley montagu,,,,no_match,0.0
french community belgium,responsible for,matters,,,,no_match,0.0
french community belgium,responsible for,education,,,,no_match,0.0
thought,becomes,more inward spiritual,,,,no_match,0.0
god,desires,man s observance,,,,no_match,0.0
replica,of,shiva lingam,,,,no_match,0.0
parsley hay,connected,north staffordshire railway,,,,no_match,0.0
form violence,occurs,other domestic relationships,,,,no_match,0.0
second session,produced,i ve just got forget you,,,,no_match,0.0
she,began,1947,,,,no_match,0.0
continuing duties,may became,specified,,,,no_match,0.0
manumission agreements,may contain,duties,,,,no_match,0.0
he,working,clubs,,,,no_match,0.0
israel,captured,sector,,,,no_match,0.0
israel,captured,six day war,,,,no_match,0.0
israel,captured in,six day war,,,,no_match,0.0
these tracks,been included,cd reissues,,,,no_match,0.0
these tracks,been included,album,,,,no_match,0.0
these tracks,been included,plan,,,,no_match,0.0
institut constant de rebecque,named,after,,,,no_match,0.0
owen,could believed,ills,,,,no_match,0.0
owen,could believed,industrial work relations,,,,no_match,0.0
owen,could believed,establishment,,,,no_match,0.0
henri de saint simon,could believed,ills,,,,no_match,0.0
henri de saint simon,could believed,establishment,,,,no_match,0.0
latchford viaduct,deemed,too expensive,,,,no_match,0.0
latchford viaduct,operational,it was deemed too expensive make extensive repairs,,,,no_match,0.0
latchford viaduct,operational,it was deemed too expensive,,,,no_match,0.0
latchford viaduct,too expensive,make extensive repairs,,,,no_match,0.0
latchford viaduct,too expensive,extensive repairs,,,,no_match,0.0
latchford viaduct,too expensive,repairs,,,,no_match,0.0
latchford viaduct,july 1985,closed,,,,no_match,0.0
july 1985,closed,latchford viaduct,,,,no_match,0.0
speranskaya,worked,kazan dolls theatre,,,,no_match,0.0
