sent_id,sentence,Subject,Predicate,Object,error_type
sent_0027,"The division maintained defensive positions until the offensive of 23 May , when it broke out of the beachhead , took Cisterna , and raced to Civitavecchia and Rome .",The division,may took,Cisterna,low_support
sent_0028,"The novel follows Cashel Byron , a world champion prizefighter , as he tries to woo wealthy aristocrat Lydia Carew without revealing his illegal profession .",Lydia Carew,without is,wealthy aristocrat,low_support
sent_0061,"Arrangements were made for mid-August performances in 1944 , but , following the 20 July plot to assassinate Hitler , Joseph Goebbels declared `` total war '' and closed all theatres within the Third Reich , resulting in the work not being allowed a public staging .",The Third Reich,not was,hitler joseph goebbels,low_support
sent_0061,"Arrangements were made for mid-August performances in 1944 , but , following the 20 July plot to assassinate Hitler , Joseph Goebbels declared `` total war '' and closed all theatres within the Third Reich , resulting in the work not being allowed a public staging .",The Third Reich,not was,joseph goebbels,low_support
sent_0064,"In October 2008 , Bond apologized to former U.S. Attorney Todd Graves , after a U.S. Justice Department report cited Bond for forcing Graves out over a disagreement with Representative Sam Graves .",Graves,was forced out,bond,low_support
sent_0101,The term can be applied to any vessel ; turning turtle is less frequent but more dangerous on ships than on smaller boats .,smaller boats,can turning turtle,is less frequent but more dangerous,low_support
sent_0111,"If the introduced surface had an ionic or polar nature , there would be water molecules standing upright on 1 or 2 of the four sp3 orbitals .",surface,has nature,ionic,low_support
sent_0359,Human behavioral ecologists assume that what might be the most adaptive strategy in one environment might not be the most adaptive strategy in another environment .,Human behavioral ecologists,might not assume,what,low_support
sent_0372,"Graner handcuffed him to the bars of a cell window and left him there , feet dangling off the floor , for nearly five hours .",him,be,floor,low_support
sent_0378,Autostereoscopy is any method of displaying stereoscopic images without the use of special headgear or glasses on the part of the viewer .,Special headgear,without is,part,low_support
sent_0424,"As a result , it becomes clear that the microbe can not survive outside a narrow pH range .",microbe,not can survive,narrow pH range,low_support
sent_0458,"Due to the transmitter location being based in Tyrone and a smaller signal wattage , it was barely hearable in the northern portions of Atlanta beyond the downtown area or even the northern reaches of Fulton or DeKalb Counties , as it was a rimshot to the southwest of the city .",Signal,is barely hearable,downtown area,low_support
sent_0577,"Lemmy believes that if Will Reid Dick had not been there , they could have worked through the problems , but ended up exchanging a few words and Clarke left the studio .",Lemmy,could not believes,worked,low_support
sent_0596,Not everyone completely trusted Vakama 's vision - Matau was particularly frustrated at following what he considered the delusions of a `` fire-spitter '' - but with nothing else to go on they decided to track the Matoran down .,Not everyone,not trusts,Matau,low_support
sent_0760,"With no assigned task , the Cosmos expressed concern for what Battra might do .",Cosmos,might no expressed concern for,Battra,low_support
sent_0774,"In fact , Condon , after seeing Hauptmann in a lineup at New York Police Department Greenwich Street Station told FBI Special Agent Turrou that Hauptmann was not `` John , '' the man to whom Condon claimed he passed the ransom money to in St. Raymond 's Cemetery .",Condon,not passed,ransom money,low_support
sent_0774,"In fact , Condon , after seeing Hauptmann in a lineup at New York Police Department Greenwich Street Station told FBI Special Agent Turrou that Hauptmann was not `` John , '' the man to whom Condon claimed he passed the ransom money to in St. Raymond 's Cemetery .",Turrou,not was,FBI Special Agent,low_support
