sent_id,sentence,Subject,Predicate,Object,drop_reason
sent_0000,This finding indicated that organic compounds could carry current .,This finding,indicates,that,object_not_grounded
sent_0001,Blagoja ` Billy ' Celeski is an Australian footballer who plays as a midfielder for the Newcastle Jets .,Blagoja 'Billy' Celeski,plays,for,object_not_grounded
sent_0002,"Tom Bradley joined the London , Midland and Scottish Railway Company as a junior clerk in the Goods Depot at Kettering in 1941 .",Goods Depot,located,Kettering,predicate_not_grounded
sent_0002,"Tom Bradley joined the London , Midland and Scottish Railway Company as a junior clerk in the Goods Depot at Kettering in 1941 .",Kettering,location,Goods Depot,predicate_not_grounded
sent_0002,"Tom Bradley joined the London , Midland and Scottish Railway Company as a junior clerk in the Goods Depot at Kettering in 1941 .",1941,year,Tom Bradley joined,predicate_not_grounded
sent_0004,"From 1970 to 1985 , Gideon Rodan taught at the University of Connecticut School of Dental Medicine until he switched over to Merck .",Gideon Rodan,worked at,University of Connecticut School of Dental Medicine,predicate_not_grounded
sent_0004,"From 1970 to 1985 , Gideon Rodan taught at the University of Connecticut School of Dental Medicine until he switched over to Merck .",Gideon Rodan,worked at,University of Connecticut,predicate_not_grounded
sent_0004,"From 1970 to 1985 , Gideon Rodan taught at the University of Connecticut School of Dental Medicine until he switched over to Merck .",Gideon Rodan,worked at,School of Dental Medicine,predicate_not_grounded
sent_0004,"From 1970 to 1985 , Gideon Rodan taught at the University of Connecticut School of Dental Medicine until he switched over to Merck .",Gideon Rodan,worked at,Merck,predicate_not_grounded
sent_0005,"After a short absence Keibler began a short feud with the evil Jillian Hall , which led to the two having a match on `` Velocity '' , which Keibler lost .",Keibler,had,a match,predicate_not_grounded
sent_0005,"After a short absence Keibler began a short feud with the evil Jillian Hall , which led to the two having a match on `` Velocity '' , which Keibler lost .",Keibler,had,a match with Jillian Hall,predicate_not_grounded
sent_0005,"After a short absence Keibler began a short feud with the evil Jillian Hall , which led to the two having a match on `` Velocity '' , which Keibler lost .",Jillian Hall,was,the opponent,object_ungroundable
sent_0005,"After a short absence Keibler began a short feud with the evil Jillian Hall , which led to the two having a match on `` Velocity '' , which Keibler lost .",Velocity,had,a match,predicate_not_grounded
sent_0006,Walcott was brought on one knee in the third round and the fight ended with hardly a scratch on Langford .,Walcott,was,on,object_not_grounded
sent_0006,Walcott was brought on one knee in the third round and the fight ended with hardly a scratch on Langford .,one knee,was,on,object_not_grounded
sent_0006,Walcott was brought on one knee in the third round and the fight ended with hardly a scratch on Langford .,Walcott,was,in,object_not_grounded
sent_0006,Walcott was brought on one knee in the third round and the fight ended with hardly a scratch on Langford .,the third round,was,in,object_not_grounded
sent_0006,Walcott was brought on one knee in the third round and the fight ended with hardly a scratch on Langford .,the fight,ended,with,object_not_grounded
sent_0006,Walcott was brought on one knee in the third round and the fight ended with hardly a scratch on Langford .,Langford,was,on,object_not_grounded
sent_0008,Courtelary is first mentioned in 968 as `` Curtis Alerici '' in a list of the properties of Moutier-Grandval Abbey .,Moutier-Grandval Abbey,has property,Courtelary,predicate_not_grounded
sent_0008,Courtelary is first mentioned in 968 as `` Curtis Alerici '' in a list of the properties of Moutier-Grandval Abbey .,Moutier-Grandval Abbey,has property,Curtis Alerici,predicate_not_grounded
sent_0010,US 258 and NC 122 parallel the river north before the two routes diverge northeast of Tarboro .,US 258,and,NC 122,predicate_not_grounded
sent_0011,"A number of rare and endemic plants are adapted to the unique limestone soils of the mountains , including the cliffdweller , bristlecone cryptantha , and Inyo rock daisy .",plants,include,cliffdweller,predicate_not_grounded
sent_0011,"A number of rare and endemic plants are adapted to the unique limestone soils of the mountains , including the cliffdweller , bristlecone cryptantha , and Inyo rock daisy .",plants,include,bristlecone cryptantha,predicate_not_grounded
sent_0011,"A number of rare and endemic plants are adapted to the unique limestone soils of the mountains , including the cliffdweller , bristlecone cryptantha , and Inyo rock daisy .",plants,include,Inyo rock daisy,predicate_not_grounded
sent_0012,"These include any Assistant to the President , Deputy Assistant to the President , and Special Assistant to the President .",Assistant to the President,is a type of,President,predicate_not_grounded
sent_0012,"These include any Assistant to the President , Deputy Assistant to the President , and Special Assistant to the President .",Deputy Assistant to the President,is a type of,Assistant to the President,predicate_not_grounded
sent_0012,"These include any Assistant to the President , Deputy Assistant to the President , and Special Assistant to the President .",Special Assistant to the President,is a type of,Assistant to the President,predicate_not_grounded
sent_0014,"with a .535 slugging percentage , and the Astros , where he batted .260 in 64 games , primarily at second base .",he,played,64 games,predicate_not_grounded
sent_0014,"with a .535 slugging percentage , and the Astros , where he batted .260 in 64 games , primarily at second base .",he,played,second base,predicate_not_grounded
sent_0014,"with a .535 slugging percentage , and the Astros , where he batted .260 in 64 games , primarily at second base .",he,played,with the Astros,predicate_not_grounded
sent_0014,"with a .535 slugging percentage , and the Astros , where he batted .260 in 64 games , primarily at second base .",he,slugged,.535,predicate_not_grounded
