pred_s,pred_p,pred_o,gt_s,gt_p,gt_o,tier,triple_sim
blagoja billy celeski,plays,midfielder,blagoja billy celeski,plays,midfielder,tier1_exact,1.0
blagoja billy celeski,plays,newcastle jets,blagoja billy celeski,plays,newcastle jets,tier1_exact,1.0
hezbollah,killed,three israeli soldiers,hezbollah,killed,three israeli soldiers,tier1_exact,1.0
he,awarded,queen s police medal,he,awarded,queen s police medal,tier1_exact,1.0
she,becomes,private forensic consultant,she,becomes,private forensic consultant,tier1_exact,1.0
muncy creek,enters,lycoming county,muncy creek,enters,lycoming county,tier1_exact,1.0
they,gained,promotion first division,they,gained,promotion first division,tier1_exact,1.0
he,stayed,less year,he,stayed,less year,tier1_exact,1.0
division,maintained,defensive positions,division,maintained,defensive positions,tier1_exact,1.0
division,broke out of,beachhead,division,broke out of,beachhead,tier1_exact,1.0
division,took,cisterna,division,took,cisterna,tier1_exact,1.0
division,raced to,civitavecchia,division,raced to,civitavecchia,tier1_exact,1.0
division,raced to,rome,division,raced to,rome,tier1_exact,1.0
cashel byron,follows,novel,novel,follows,cashel byron,tier1_exact,1.0
case,reviewed,higher court,case,reviewed,higher court,tier1_exact,1.0
lady mary wortley montagu,observed,practice,lady mary wortley montagu,observed,practice,tier1_exact,1.0
triangle area,includes,quanzhou,triangle area,includes,quanzhou,tier1_exact,1.0
triangle area,includes,xiamen,triangle area,includes,xiamen,tier1_exact,1.0
triangle area,includes,zhangzhou,triangle area,includes,zhangzhou,tier1_exact,1.0
locals,speak,minnan languages,locals,speak,minnan languages,tier1_exact,1.0
he,held,post,he,held,post,tier1_exact,1.0
she,began,her film career,she,began,her film career,tier1_exact,1.0
voyslava,killed,mlada,voyslava,killed,mlada,tier1_exact,1.0
institut constant de rebecque,founded,lausanne,institut constant de rebecque,founded,lausanne,tier1_exact,1.0
speranskaya,worked as,chief artist,speranskaya,worked as,chief artist,tier1_exact,1.0
speranskaya,worked as,stage artist director,speranskaya,worked as,stage artist director,tier1_exact,1.0
iowa terminal railroad,sold to,dave johnson,iowa terminal railroad,sold to,dave johnson,tier1_exact,1.0
iowa terminal railroad,renamed to,iowa traction railroad,iowa terminal railroad,renamed to,iowa traction railroad,tier1_exact,1.0
joseph goebbels,declared,total war,joseph goebbels,declared,total war,tier1_exact,1.0
michael,secures,another job,michael,secures,another job,tier1_exact,1.0
federal trade commission,began,investigation,federal trade commission,began,investigation,tier1_exact,1.0
charles,prorogued,parliament,charles,prorogued,parliament,tier1_exact,1.0
these screening activities,include,review group based data,these screening activities,include,review group based data,tier1_exact,1.0
these screening activities,include,hearing screening,these screening activities,include,hearing screening,tier1_exact,1.0
these screening activities,include,vision screening,these screening activities,include,vision screening,tier1_exact,1.0
these screening activities,include,motor screening,these screening activities,include,motor screening,tier1_exact,1.0
these screening activities,include,speech language screening,these screening activities,include,speech language screening,tier1_exact,1.0
these screening activities,include,review special education administration,these screening activities,include,review special education administration,tier1_exact,1.0
statue,of,sir arthur,statue,of,sir arthur,tier1_exact,1.0
he,won,gold medal,he,won,gold medal,tier1_exact,1.0
r enantiomer,produces,harmful health effects,r enantiomer,produces,harmful health effects,tier1_exact,1.0
it,carried,monitor,it,carried,monitor,tier1_exact,1.0
united states high commissioner germany,occupied,building,united states high commissioner germany,occupied,building,tier1_exact,1.0
they,acquired,charles city western,they,acquired,charles city western,tier1_exact,1.0
zero,helps,band reploids,zero,helps,band reploids,tier1_exact,1.0
he,made,index visible filing system,he,made,index visible filing system,tier1_exact,1.0
he,patented,index visible filing system,he,patented,index visible filing system,tier1_exact,1.0
he,sold,index visible filing system,he,sold,index visible filing system,tier1_exact,1.0
waist line,put,higher,waist line,put,higher,tier1_exact,1.0
skirts,became,longer,skirts,became,longer,tier1_exact,1.0
thomas,made,his league debut,thomas,made,his league debut,tier1_exact,1.0
caro,met,robert loder,caro,met,robert loder,tier1_exact,1.0
charles,raising,army,charles,raising,army,tier1_exact,1.0
kormoran,entered,australian waters,kormoran,entered,australian waters,tier1_exact,1.0
city,served by,jiaxing north bus station,city,served by,jiaxing north bus station,tier1_exact,1.0
city,served by,new jiaxing transportation center,city,served by,new jiaxing transportation center,tier1_exact,1.0
ninth leaf,contains,circular world map,ninth leaf,contains,circular world map,tier1_exact,1.0
ely cathedral,retains,wooden ceiling,ely cathedral,retains,wooden ceiling,tier1_exact,1.0
ely cathedral,never,vaulted,ely cathedral,never,vaulted,tier1_exact,1.0
he,chosen,chief justice court queen s bench,he,chosen,chief justice court queen s bench,tier1_exact,1.0
attack squadron 725,based at,nas glenview,attack squadron 725,based at,nas glenview,tier1_exact,1.0
attack squadron 725,redesignated as,attack squadron 209,attack squadron 725,redesignated as,attack squadron 209,tier1_exact,1.0
font,contains,star david,font,contains,star david,tier1_exact,1.0
font,contains,symbols zodiac,font,contains,symbols zodiac,tier1_exact,1.0
font,contains,index signs,font,contains,index signs,tier1_exact,1.0
font,contains,manicle signs,font,contains,manicle signs,tier1_exact,1.0
font,contains,obscure ampersands,font,contains,obscure ampersands,tier1_exact,1.0
lodge,hosts,fellowship events,lodge,hosts,fellowship events,tier1_exact,1.0
lodge,hosts,conclaves,lodge,hosts,conclaves,tier1_exact,1.0
lodge,hosts,training events,lodge,hosts,training events,tier1_exact,1.0
lodge,hosts,annual family banquet,lodge,hosts,annual family banquet,tier1_exact,1.0
brumbies,won,47 38,brumbies,won,47 38,tier1_exact,1.0
peter bywaters,offers,tuition live basis,peter bywaters,offers,tuition live basis,tier1_exact,1.0
company,suffered,public relations embarrassment,company,suffered,public relations embarrassment,tier1_exact,1.0
canal de l ourcq,built,1806,canal de l ourcq,built,1806,tier1_exact,1.0
plan 9,provides,codice 13 file system,plan 9,provides,codice 13 file system,tier1_exact,1.0
kabul,lost,tourism,kabul,lost,tourism,tier1_exact,1.0
smaller meteorite,hit,earth,smaller meteorite,hit,earth,tier1_exact,1.0
sidney rice,caught,game winning touchdown,sidney rice,caught,game winning touchdown,tier1_exact,1.0
ram srt 10,came in,brilliant black crystal pearl coat,ram srt 10,came in,brilliant black crystal pearl coat,tier1_exact,1.0
ram srt 10,came in,bright silver metallic clear coat,ram srt 10,came in,bright silver metallic clear coat,tier1_exact,1.0
ram srt 10,came in,flame red clear coat,ram srt 10,came in,flame red clear coat,tier1_exact,1.0
senchuk,combined,two posts,senchuk,combined,two posts,tier1_exact,1.0
fuel tanks,located,wing center section,fuel tanks,located,wing center section,tier1_exact,1.0
fowler s solution,made from,dilute arsenic,fowler s solution,made from,dilute arsenic,tier1_exact,1.0
future vertical lift prototype,called,sb 1 defiant,future vertical lift prototype,called,sb 1 defiant,tier1_exact,1.0
pete ingram,survived,shangani patrol massacre,pete ingram,survived,shangani patrol massacre,tier1_exact,1.0
player,confronts,boss,player,confronts,boss,tier1_exact,1.0
it,includes,thirty two elementary schools,it,includes,thirty two elementary schools,tier1_exact,1.0
it,includes,nine middle schools,it,includes,nine middle schools,tier1_exact,1.0
it,includes,ten high schools,it,includes,ten high schools,tier1_exact,1.0
it,includes,one charter school,it,includes,one charter school,tier1_exact,1.0
crime master,slashes,her,crime master,slashes,her,tier1_exact,1.0
jones,renamed,municipality,municipality,renamed,jones,tier1_exact,1.0
philippines,under,american colonial rule,philippines,under,american colonial rule,tier1_exact,1.0
crybaby,released through,ipecac recordings,crybaby,released through,ipecac recordings,tier1_exact,1.0
prahran malvern tramways trust,opened,line,prahran malvern tramways trust,opened,line,tier1_exact,1.0
haile selassie,introduced,revised constitution,haile selassie,introduced,revised constitution,tier1_exact,1.0
he,appointed,attorney general ireland,he,appointed,attorney general ireland,tier1_exact,1.0
it,hosts,zomercarnaval,it,hosts,zomercarnaval,tier1_exact,1.0
local governments,operate under,walsh act form municipal governance,local governments,operate under,walsh act form municipal governance,tier1_exact,1.0
he,appointed,commander order british empire,he,appointed,commander order british empire,tier1_exact,1.0
he,knighted,coronation honours,he,knighted,coronation honours,tier1_exact,1.0
he,joined,emma frost s academy tomorrow,he,joined,emma frost s academy tomorrow,tier1_exact,1.0
cob,defined as,short legged stout horse,cob,defined as,short legged stout horse,tier1_exact,1.0
she,reads,articles,she,reads,articles,tier1_exact,1.0
s d,administered by,midland railway london south western railway companies,s d,administered by,midland railway london south western railway companies,tier1_exact,1.0
north somerset,run by,great western railway,north somerset,run by,great western railway,tier1_exact,1.0
x,revealed to,leader neo arcadia,x,revealed to,leader neo arcadia,tier1_exact,1.0
zero,confronts,x,zero,confronts,x,tier1_exact,1.0
new tomorrowland,opened,1967,new tomorrowland,opened,1967,tier1_exact,1.0
new tomorrowland,occupied,space,new tomorrowland,occupied,space,tier1_exact,1.0
109 individuals,belong to,another church,109 individuals,belong to,another church,tier1_exact,1.0
20 individuals,did not answer,question,20 individuals,did not answer,question,tier1_exact,1.0
hofmann,born in,salt lake city utah,hofmann,born in,salt lake city utah,tier1_exact,1.0
davis,recorded,seven albums,davis,recorded,seven albums,tier1_exact,1.0
he,play,test rugby league australia second time,he,play,test rugby league australia second time,tier1_exact,1.0
clubs,offered,services,clubs,offered,services,tier1_exact,1.0
clubs,offered,events,clubs,offered,events,tier1_exact,1.0
locals,speak,taiwanese,locals,speak,taiwanese,tier1_exact,1.0
ed,drives,creature,ed,drives,creature,tier1_exact,1.0
commissioners,in charge of,provisioning army,commissioners,in charge of,provisioning army,tier1_exact,1.0
commissioners,in charge of,policing,commissioners,in charge of,policing,tier1_exact,1.0
