predicate,preds,TP,precision
is,180,0,0.0
was,149,0,0.0
be,57,0,0.0
became,53,20,0.377
are,51,0,0.0
were,45,0,0.0
has,42,0,0.0
had,35,0,0.0
have,35,0,0.0
won,29,14,0.483
provides,25,10,0.4
held,24,23,0.958
made,24,7,0.292
played,24,17,0.708
appear,19,2,0.105
are offered,18,0,0.0
was requested,17,0,0.0
advocated,15,4,0.267
joined,13,9,0.692
performs,13,11,0.846
located,12,11,0.917
were held,12,0,0.0
took,12,4,0.333
includes,11,7,0.636
include,11,10,0.909
published,11,10,0.909
banned,11,2,0.182
might to regulate,11,0,0.0
began,10,8,0.8
can is,10,0,0.0
play,10,7,0.7
served,10,4,0.4
could said,10,1,0.1
speak,9,7,0.778
used,9,5,0.556
occupied,9,4,0.444
introduced,9,6,0.667
left,9,7,0.778
accused,9,2,0.222
gives,9,9,1.0
launched,8,3,0.375
produced,8,6,0.75
died,8,4,0.5
contains,8,8,1.0
was chosen,8,0,0.0
went,8,4,0.5
born,8,5,0.625
formed,8,6,0.75
can has,8,0,0.0
killed,7,4,0.571
refers to,7,2,0.286
have been included,7,0,0.0
released,7,5,0.714
offers,7,2,0.286
was released,7,0,0.0
built,7,7,1.0
beat,7,4,0.571
came in,7,7,1.0
describes,7,5,0.714
can have,7,0,0.0
can be,7,0,0.0
returned,6,5,0.833
become,6,4,0.667
ran,6,4,0.667
could believed,6,1,0.167
was founded,6,0,0.0
would,6,3,0.5
math,6,2,0.333
appeared,6,3,0.5
can be used for,6,5,0.833
book,6,2,0.333
can record,6,2,0.333
dedicated,6,6,1.0
no were,6,0,0.0
plays,5,3,0.6
gained,5,1,0.2
named,5,2,0.4
worked,5,3,0.6
toured,5,1,0.2
sought,5,3,0.6
can turning turtle,5,1,0.2
started,5,3,0.6
were informed,5,0,0.0
met,5,4,0.8
hosts,5,5,1.0
known,5,4,0.8
combined,5,4,0.8
included,5,1,0.2
helped,5,1,0.2
awarded,5,3,0.6
attend,5,4,0.8
broadcast,5,3,0.6
not believe,5,2,0.4
was held,5,0,0.0
was in,5,0,0.0
