sent_id,Subject,Predicate,Object,stage_a_decision,triggered_retrieval,final_decision,error_type
sent_0000,This finding,could shows,organic compounds,LOCAL_ACCEPT,False,ACCEPT,
sent_0000,This finding,could indicates,current,LOCAL_ACCEPT,False,ACCEPT,
sent_0000,Organic compounds,can carry,current,LOCAL_ACCEPT,False,ACCEPT,
sent_0001,Blagoja 'Billy' Celeski,plays,midfielder,LOCAL_ACCEPT,False,ACCEPT,
sent_0001,Blagoja 'Billy' Celeski,plays,Australian footballer,LOCAL_ACCEPT,False,ACCEPT,
sent_0001,Blagoja 'Billy' Celeski,plays,Newcastle Jets,LOCAL_ACCEPT,False,ACCEPT,
sent_0002,Tom Bradley,joined,"London, Midland and Scottish Railway Company",LOCAL_ACCEPT,False,ACCEPT,
sent_0002,Tom Bradley,joined,Goods Depot,LOCAL_ACCEPT,False,ACCEPT,
sent_0002,Tom Bradley,joined,Kettering,LOCAL_ACCEPT,False,ACCEPT,
sent_0002,Tom Bradley,joined,1941,LOCAL_ACCEPT,False,ACCEPT,
sent_0002,London,midland and scottish railway company,tom bradley,LOCAL_ACCEPT,False,ACCEPT,
sent_0003,Jesus,is not accepted as,the son,LOCAL_ACCEPT,False,ACCEPT,
sent_0003,Jesus,not is,a human being,LOCAL_ACCEPT,False,REJECT,contradiction_or_false
sent_0003,Jesus,not was loved by,God,LOCAL_ACCEPT,False,REJECT,contradiction_or_false
sent_0003,Jesus,not was exalted by,God,LOCAL_ACCEPT,False,REJECT,contradiction_or_false
sent_0003,God,not loved,Jesus,LOCAL_ACCEPT,False,REJECT,contradiction_or_false
sent_0003,God,not exalted,Jesus,LOCAL_ACCEPT,False,REJECT,contradiction_or_false
sent_0004,Gideon Rodan,taught,University of Connecticut School of Dental Medicine,LOCAL_ACCEPT,False,ACCEPT,
sent_0004,Gideon Rodan,taught,University of Connecticut,LOCAL_ACCEPT,False,ACCEPT,
sent_0004,Gideon Rodan,taught,School of Dental Medicine,LOCAL_ACCEPT,False,ACCEPT,
sent_0004,Gideon Rodan,switched,Merck,LOCAL_ACCEPT,False,ACCEPT,
sent_0005,Keibler,began,a short feud,LOCAL_ACCEPT,False,ACCEPT,
sent_0005,Keibler,lost,a match,LOCAL_ACCEPT,False,ACCEPT,
sent_0005,Jillian Hall,was,the evil,LOCAL_ACCEPT,False,ACCEPT,
sent_0005,a short feud,led to,a match,LOCAL_ACCEPT,False,ACCEPT,
sent_0006,Walcott,was brought,one knee,LOCAL_ACCEPT,False,ACCEPT,
sent_0006,the fight,ended,hardly a scratch on,LOCAL_ACCEPT,False,ACCEPT,
sent_0007,Hezbollah,launched,series of rocket attacks and raids,LOCAL_ACCEPT,False,ACCEPT,
sent_0007,Hezbollah,launched,rocket attacks and raids,LOCAL_ACCEPT,False,ACCEPT,
sent_0007,Hezbollah,launched,into Israeli territory,LOCAL_ACCEPT,False,ACCEPT,
sent_0007,Hezbollah,killed,three Israeli soldiers,LOCAL_ACCEPT,False,ACCEPT,
sent_0007,Hezbollah,captured,israeli soldiers,LOCAL_ACCEPT,False,ACCEPT,
sent_0008,Courtelary,is mentioned in,968,LOCAL_ACCEPT,False,ACCEPT,
sent_0008,Courtelary,is mentioned as,Curtis Alerici,LOCAL_ACCEPT,False,ACCEPT,
sent_0009,The strike,obtained,political support,LOCAL_ACCEPT,False,ACCEPT,
sent_0009,The strike,was addressed,public meetings,LOCAL_ACCEPT,False,ACCEPT,
sent_0009,The workers,were addressed,public meetings,LOCAL_ACCEPT,False,ACCEPT,
sent_0009,Dr. Cheddi Jagan,addressed,public meetings,LOCAL_ACCEPT,False,ACCEPT,
sent_0009,Janet Jagan,addressed,public meetings,LOCAL_ACCEPT,False,ACCEPT,
sent_0009,Leaders of the GIWU,addressed,public meetings,LOCAL_ACCEPT,False,ACCEPT,
sent_0010,US 258,parallel,river,LOCAL_ACCEPT,False,ACCEPT,
sent_0010,NC 122,parallel,river,LOCAL_ACCEPT,False,ACCEPT,
sent_0010,US 258,diverge,northeast of Tarboro,LOCAL_ACCEPT,False,ACCEPT,
sent_0010,NC 122,diverge,northeast of Tarboro,LOCAL_ACCEPT,False,ACCEPT,
sent_0010,US 258,before,river,LOCAL_ACCEPT,True,ACCEPT,
sent_0010,NC 122,before,river,LOCAL_ACCEPT,True,REJECT,low_support
sent_0011,plants,are adapted to,limestone soils,LOCAL_ACCEPT,False,ACCEPT,
sent_0011,plants,are adapted to,mountains,LOCAL_ACCEPT,False,ACCEPT,
sent_0011,cliffdweller,is,plants,LOCAL_ACCEPT,True,ACCEPT,
sent_0011,bristlecone cryptantha,is,plants,LOCAL_ACCEPT,True,REJECT,low_support
sent_0011,Inyo rock daisy,is,plants,LOCAL_ACCEPT,False,ACCEPT,
sent_0012,Assistant to the President,is,President,LOCAL_ACCEPT,False,REJECT,contradiction_or_false
sent_0012,Deputy Assistant to the President,is,President,LOCAL_ACCEPT,False,REJECT,contradiction_or_false
sent_0012,Special Assistant to the President,is,President,LOCAL_ACCEPT,True,REJECT,low_support
sent_0013,He,was awarded,Queen's Police Medal,LOCAL_ACCEPT,False,ACCEPT,
sent_0013,He,was awarded,1957 New Year Honours,LOCAL_ACCEPT,False,ACCEPT,
