sent_id,Subject,Predicate,Object,reason
sent_0002,London,Midland and Scottish Railway Company,"employed, Tom Bradley",reject
sent_0006,Walcott,was,in,reject
sent_0007,Hezbollah,captured,two Israeli soldiers,reject
sent_0010,NC 122,before,river,reject
sent_0011,cliffdweller,is,a plant,reject
sent_0011,bristlecone cryptantha,is,a plant,reject
sent_0011,Inyo rock daisy,is,a plant,reject
sent_0012,Assistant to the President,is,President,reject
sent_0012,Deputy Assistant to the President,is,President,reject
sent_0012,Special Assistant to the President,is,President,reject
sent_0014,he,played,with the Astros,reject
sent_0017,Sullivan County,located in,Pennsylvania,reject
sent_0017,Lycoming County,located in,Pennsylvania,reject
sent_0020,until,cooking,sliced raw potato,reject
sent_0021,map,is used,country,reject
sent_0022,They,gained,promotion in 1974,reject
sent_0023,He,of,Kent,reject
sent_0025,a,be,heretical,reject
sent_0025,a,be,comedy,reject
sent_0026,Byrom Street Cutting,became,a tunnel,reject
sent_0026,Byrom Street Cutting,became,the tunnel,reject
sent_0028,Cashel Byron,has,illegal profession,reject
sent_0028,Cashel Byron,woos,Lydia Carew,reject
sent_0028,Cashel Byron,does not reveal,illegal profession,reject
sent_0029,A judge,ordered,a case,lex_score_zero
sent_0029,A judge,reviewed,a case,lex_score_zero
sent_0030,Britain,attempted,popularize,reject
sent_0030,Lady Mary Wortley Montagu,attempted,popularize in,reject
sent_0030,practice,observed,Lady Mary Wortley Montagu,reject
sent_0031,Wallonia,is home to,the remainder,reject
sent_0033,The Original Celtics,were,a,reject
sent_0037,Parsley Hay,ran,Ashbourne,reject
sent_0039,St. James Infirmary,was,a song,reject
sent_0043,Duties,be,customary,reject
sent_0043,Hellenistic era,is,time,reject
sent_0044,He,working,singer,reject
sent_0044,He,working,dancer,reject
sent_0044,He,working,comedian,reject
sent_0045,Israel,controlled,sector,reject
sent_0045,sector,captured,Israel,reject
sent_0046,Yaromir,has,Mlada,reject
sent_0048,Cub Scout,are,staff members,reject
sent_0048,Scout camps,are,staff members,reject
sent_0048,Cub Scout camps,are,staff members,reject
sent_0050,Institut Constant de Rebecque,is,a,reject
sent_0050,Institut Constant de Rebecque,founded,Lausanne,reject
sent_0051,Owen,believed,ills,reject
sent_0051,Owen,believed,industrial work relations,reject
sent_0051,Henri de Saint-Simon,believed,ills,reject
sent_0051,Henri de Saint-Simon,believed,industrial work relations,reject
sent_0052,Latchford viaduct,operational,when,reject
sent_0052,Latchford viaduct,operational,to make extensive repairs,reject
sent_0052,Latchford viaduct,operational,extensive repairs,reject
sent_0052,Latchford viaduct,operational,repairs,reject
sent_0052,Latchford viaduct,operational,to keep operational,unverified
sent_0052,Latchford viaduct,operational,keep operational,unverified
sent_0052,Latchford viaduct,operational,keep,reject
sent_0052,Latchford viaduct,operational,operational,reject
sent_0053,Kilmacud Crokes,of,2006 competition,reject
